lga_name, lga_code, lw_excse_2_asr
"Griffith (C)",13450,76.5
"Gundagai (A)",13500,73.1
"Gunnedah (A)",13550,74.3
"Guyra (A)",13650,79.5
"Gwydir (A)",13660,79.9
"Harden (A)",13700,73.8
"Hawkesbury (C)",13800,67.7
"Hay (A)",13850,76.6
"Holroyd (C)",13950,72.0
"Hornsby (A)",14000,63.5
"Hunters Hill (A)",14100,59.5
"Hurstville (C)",14150,69.0
"Inverell (A)",14200,74.4
"Jerilderie (A)",14250,75.8
"Junee (A)",14300,73.2
"Kempsey (A)",14350,73.4
"Kiama (A)",14400,64.1
"Kogarah (C)",14450,65.0
"Ku-ring-gai (A)",14500,56.1
"Kyogle (A)",14550,76.7
"Lachlan (A)",14600,77.9
"Lake Macquarie (C)",14650,64.7
"Lane Cove (A)",14700,57.8
"Leeton (A)",14750,75.8
"Leichhardt (A)",14800,56.1
"Lismore (C)",14850,71.3
"Lithgow (C)",14870,73.0
"Liverpool (C)",14900,72.4
"Liverpool Plains (A)",14920,78.3
"Lockhart (A)",14950,77.0
"Maitland (C)",15050,70.7
"Manly (A)",15150,55.4
"Marrickville (A)",15200,61.6
"Mid-Western Regional (A)",15270,71.8
"Moree Plains (A)",15300,75.0
"Mosman (A)",15350,53.1
"Murray (A)",15500,73.9
"Murrumbidgee (A)",15550,81.8
"Muswellbrook (A)",15650,73.7
"Nambucca (A)",15700,72.1
"Narrabri (A)",15750,78.7
"Narrandera (A)",15800,75.2
"Narromine (A)",15850,78.1
"Newcastle (C)",15900,61.7
"North Sydney (A)",15950,53.7
"Oberon (A)",16100,75.3
"Orange (C)",16150,71.4
"Palerang (A)",16180,64.6
"Parkes (A)",16200,73.1
"Parramatta (C)",16250,70.3
"Penrith (C)",16350,71.2
"Pittwater (A)",16370,56.2
"Port Macquarie-Hastings (A)",16380,67.7
"Port Stephens (A)",16400,69.3
"Queanbeyan (C)",16470,66.5
"Randwick (C)",16550,59.6
"Richmond Valley (A)",16610,74.2
"Rockdale (C)",16650,69.3
"Ryde (C)",16700,67.4
"Shellharbour (C)",16900,67.2
"Shoalhaven (C)",16950,69.2
"Singleton (A)",17000,71.1
"Snowy River (A)",17050,66.7
"Sydney (C)",17200,57.4
"Tamworth Regional (A)",17310,71.7
"Strathfield (A)",17100,65.6
"Sutherland Shire (A)",17150,62.4
"Temora (A)",17350,73.1
"Tenterfield (A)",17400,74.1
"The Hills Shire (A)",17420,64.4
"Tumbarumba (A)",17450,77.2
"Tumut Shire (A)",17500,75.8
"Tweed (A)",17550,68.3
"Upper Hunter Shire (A)",17620,76.4
"Upper Lachlan Shire (A)",17640,73.2
"Uralla (A)",17650,74.8
"Urana (A)",17700,74.7
"Wagga Wagga (C)",17750,69.8
"Wakool (A)",17800,74.2
"Walcha (A)",17850,81.7
"Walgett (A)",17900,null
"Warren (A)",17950,78.5
"Warringah (A)",18000,59.4
"Warrumbungle Shire (A)",18020,77.1
"Waverley (A)",18050,51.8
"Weddin (A)",18100,78.4
"Wellington (A)",18150,73.7
"Wentworth (A)",18200,76.6
"Willoughby (C)",18250,59.5
"Wingecarribee (A)",18350,66.3
"Wollondilly (A)",18400,68.0
"Wollongong (C)",18450,64.3
"Woollahra (A)",18500,46.8
"Wyong (A)",18550,70.9
"Yass Valley (A)",18710,67.9
"Young (A)",18750,74.4
"Unincorporated NSW",19399,null
"Alpine (S)",20110,71.5
"Ararat (RC)",20260,72.8
"Ballarat (C)",20570,67.4
"Banyule (C)",20660,62.0
"Bass Coast (S)",20740,66.7
"Baw Baw (S)",20830,70.1
"Bayside (C)",20910,55.2
"Benalla (RC)",21010,70.3
"Boroondara (C)",21110,54.6
"Brimbank (C)",21180,72.8
"Buloke (S)",21270,74.8
"Campaspe (S)",21370,72.4
"Cardinia (S)",21450,66.6
"Casey (C)",21610,69.7
"Central Goldfields (S)",21670,71.6
"Colac-Otway (S)",21750,72.4
"Corangamite (S)",21830,75.2
"Darebin (C)",21890,65.7
"East Gippsland (S)",22110,68.5
"Frankston (C)",22170,66.5
"Gannawarra (S)",22250,74.8
"Glen Eira (C)",22310,58.5
"Glenelg (S)",22410,73.5
"Golden Plains (S)",22490,69.8
"Greater Bendigo (C)",22620,68.3
"Greater Dandenong (C)",22670,73.4
"Greater Geelong (C)",22750,62.8
"Greater Shepparton (C)",22830,69.4
"Hepburn (S)",22910,67.9
"Hindmarsh (S)",22980,76.9
"Hobsons Bay (C)",23110,65.6
"Horsham (RC)",23190,70.0
"Hume (C)",23270,71.9
"Indigo (S)",23350,69.8
"Kingston (C)",23430,64.9
"Knox (C)",23670,65.9
"Latrobe (C)",23810,69.8
